FNTotalDishonest,FNTotalDishonest_HL,FNTotalHonest,FNTotalHonest_HL,QPQ2HL0,QPQ2HL1,QPQ2TH0,QPQ2TH1,QPQHL,QPQTH,QPQversion,UtilityDishonest,UtilityDishonest_HL,UtilityHonest,UtilityHonest_HL,alpha,betafactor,clusters,numliars,playerperclusters,players,rounds
0.131,0.057777777777777775,0.011988235294117647,0.012474945533769063,,,,,100,0.97,1,5.544555902858073e-06,0.0006301194987266844,3.132432496034359e-05,3.0495676544281242e-05,,1.2,16,1,256,256,1000
0.0,0.0,0.0032980392156862744,0.0036427015250544664,800.0,800.0,0.9822826862112167,0.9822826862112167,100,0.97,2,5.544555902858073e-06,3.4969332340719885e-06,2.0916576464051886e-05,2.1415980671442907e-05,1.0,1.2,16,1,16,256,1000
0.031,0.0,0.012376470588235294,0.013028322440087146,,,,,100,0.97,1,5.308634425684744e-07,4.4121067793141895e-05,4.313751499686416e-05,4.240439273361075e-05,,1.2,16,1,256,256,1000
0.0,0.0,2.745098039215686e-05,0.0,800.0,800.0,0.9822826862112167,0.9822826862112167,100,0.97,2,0.0009389219010484766,4.4121067793141895e-05,3.064027403769462e-05,3.214899962098233e-05,1.0,1.2,16,1,16,256,1000
0.061,0.02666666666666667,0.012129411764705882,0.012666666666666666,,,,,100,0.97,1,1.701492539740057e-06,2.6704813797940626e-05,3.519170629901926e-05,3.0353366747849872e-05,,1.2,16,1,256,256,1000
0.0,0.0,0.0009647058823529412,0.0010152505446623093,800.0,800.0,0.9822826862112167,0.9822826862112167,100,0.97,2,0.0016294350773585578,2.6704813797940626e-05,2.2133164067050967e-05,2.743927811080039e-05,1.0,1.2,16,1,16,256,1000
0.024,0.0033333333333333335,0.011654901960784314,0.011442265795206972,,,,,100,0.97,1,2.367005360763841e-07,1.0226253098950533e-05,4.532982823142617e-05,4.3164524912505486e-05,,1.2,16,1,256,256,1000
0.0,0.0,1.1764705882352942e-05,0.0,800.0,800.0,0.9822826862112167,0.9822826862112167,100,0.97,2,1.170844738365595e-06,0.0,1.7793457501673485e-05,1.5214294702428482e-05,1.0,1.2,16,1,16,256,1000
0.025,0.0,0.012062745098039215,0.012514161220043573,,,,,100,0.97,1,0.0,1.2003128259477666e-05,3.990737766159847e-05,4.2614469830184823e-05,,1.2,16,1,256,256,1000
0.0,0.0,0.001815686274509804,0.0017995642701525054,800.0,800.0,0.9822826862112167,0.9822826862112167,100,0.97,2,0.0,1.2003128259477666e-05,2.0344242521874294e-05,1.8812071516078272e-05,1.0,1.2,16,1,16,256,1000
